Date,High_Probability
1916-11-30,0.9071268477480758
1916-12-31,0.9990713310457
1917-01-31,0.9999806482449042
1917-02-28,0.9999999987983096
1917-03-31,0.9999999683528819
1917-04-30,0.9999999999999619
1917-05-31,0.9999999999999893
1917-06-30,0.9999999999999928
1917-07-31,0.9999999999998892
1917-08-31,0.9999999999999839
1917-09-30,0.9999999999999913
1917-10-31,0.9999999999999882
1917-11-30,0.9999999999971555
1917-12-31,0.9999999999996473
1918-01-31,0.9999999999999903
1918-02-28,0.9999999999978921
1918-03-31,0.9999999999765471
1918-04-30,0.9999961111863835
1918-05-31,0.9999993542510944
1918-06-30,0.9999988316285284
1918-07-31,0.9999999999995249
1918-08-31,0.9999999999998893
1918-09-30,0.9999999999995257
1918-10-31,0.9999999999998891
1918-11-30,0.9999999999999929
1918-12-31,0.9999999999999926
1919-01-31,0.9999999999993617
1919-02-28,0.9999999947883692
1919-03-31,0.9999999999930002
1919-04-30,0.9999999999984375
1919-05-31,0.9999999999685547
1919-06-30,0.9999999961415257
1919-07-31,0.9999999978850412
1919-08-31,0.9999999947836764
1919-09-30,0.9999995253930337
1919-10-31,0.9999988312314252
1919-11-30,0.9999996486141
1919-12-31,0.999999982641931
1920-01-31,0.999999999990547
1920-02-29,0.9999999999999921
1920-03-31,0.9999999999999916
1920-04-30,0.9999999999999926
1920-05-31,0.9999999999999926
1920-06-30,0.9999999999999926
1920-07-31,0.9999999999999875
1920-08-31,0.9999996805463478
1920-09-30,0.9827413683838048
1942-02-28,0.9856531547073412
1942-03-31,0.9998899781122133
1942-04-30,0.9999902197754998
1942-05-31,0.9997066807444773
1942-06-30,0.8226134014000718
1942-07-31,0.7158674716957245
1946-08-31,0.8406129903799452
1946-09-30,0.9988352920497344
1946-10-31,0.9999999833232227
1946-11-30,0.9999999999988414
1946-12-31,0.9999999999996471
1947-01-31,0.999999999999647
1947-02-28,0.9999999999999507
1947-03-31,0.99999999999999
1947-04-30,0.9999999999999697
1947-05-31,0.9999999999998526
1947-06-30,0.9999999999980639
1947-07-31,0.9998727810183522
1947-08-31,0.9975700200843993
1947-09-30,0.9919319723694742
1974-07-31,0.7077645170403839
1974-08-31,0.8120782592019228
1974-09-30,0.9851961335979155
1974-10-31,0.9992862028406225
1974-11-30,0.9998888069942844
1974-12-31,0.9989469544137564
1975-01-31,0.9593223964193639
1979-07-31,0.7883750198180406
1979-08-31,0.9783601841442972
1979-09-30,0.9992607763039573
1979-10-31,0.9999443549614232
1979-11-30,0.9999942007404758
1979-12-31,0.9999993532372868
1980-01-31,0.9999998945277311
1980-02-29,0.9999999572451487
1980-03-31,0.9999999929599446
1980-04-30,0.9999999904913651
1980-05-31,0.9999999765684945
1980-06-30,0.9999999765170614
1980-07-31,0.999998828257481
1980-08-31,0.9999978450635435
1980-09-30,0.9999947035044201
1980-10-31,0.9999970482721525
1980-11-30,0.9999912945261704
1980-12-31,0.9996522758973406
1981-01-31,0.9744654732673557
1981-02-28,0.7455324061335084
