Date,High_Probability
1921-02-28,0.9077357424087956
1921-03-31,0.9999485643629848
1921-04-30,0.9999999999994373
1921-05-31,0.9999999999999919
1921-06-30,0.9999999999999919
1921-07-31,0.9999999999999919
1921-08-31,0.9999999999999915
1921-09-30,0.9999999999999907
1921-10-31,0.9999999999999865
1921-11-30,0.9999999999999863
1921-12-31,0.9999999999995436
1922-01-31,0.9999999999998292
1922-02-28,0.9999999970671596
1922-03-31,0.999999999458579
1922-04-30,0.9999999772923792
1922-05-31,0.9999068656742846
1922-06-30,0.9990900001411912
1922-07-31,0.9976749009618585
1922-08-31,0.9948599429684383
1922-09-30,0.7397295244852201
1930-11-30,0.8041886578167919
1930-12-31,0.9988447580822466
1931-01-31,0.9999989305100195
1931-02-28,0.9999999776115517
1931-03-31,0.9999999841093765
1931-04-30,0.9999999996138507
1931-05-31,0.9999999999637366
1931-06-30,0.9999999999952195
1931-07-31,0.9999999998035688
1931-08-31,0.9999999989358465
1931-09-30,0.9999999999741331
1931-10-31,0.9999999999815489
1931-11-30,0.9999999999982612
1931-12-31,0.9999999999287229
1932-01-31,0.9999999999952196
1932-02-29,0.9999999999965886
1932-03-31,0.9999999999975648
1932-04-30,0.9999999999975647
1932-05-31,0.9999999999987578
1932-06-30,0.9999999999906101
1932-07-31,0.9999999999906101
1932-08-31,0.9999999999991119
1932-09-30,0.9999999999993646
1932-10-31,0.9999999999993646
1932-11-30,0.9999999999965886
1932-12-31,0.9999999999975648
1933-01-31,0.9999999999868378
1933-02-28,0.9999999999906101
1933-03-31,0.9999999999933008
1933-04-30,0.9999999999491405
1933-05-31,0.9999999159722074
1933-06-30,0.9970541354350149
