datetime,state_id,state_name,risk_on_probability
1999-06-30,0,Risk-On,0.9961853848729019
1999-07-31,0,Risk-On,0.9886763348058022
1999-08-31,0,Risk-On,0.9944664687836263
1999-09-30,0,Risk-On,0.9864966620152023
1999-10-31,0,Risk-On,0.9619723041861062
1999-11-30,0,Risk-On,0.949951009014532
1999-12-31,0,Risk-On,0.9577280819474695
2000-01-31,0,Risk-On,0.9892588955889605
2000-02-29,0,Risk-On,0.9468979376112987
2000-03-31,0,Risk-On,0.7897994199225311
2000-04-30,0,Risk-On,0.5814619459279001
2000-05-31,1,Risk-Off,0.14459648115142698
2000-06-30,1,Risk-Off,0.0046965213804902595
2000-07-31,1,Risk-Off,0.0020500792794581058
2000-08-31,1,Risk-Off,0.0012923942544494915
2000-09-30,1,Risk-Off,0.001400100851804309
2000-10-31,1,Risk-Off,0.004008204461802389
2000-11-30,1,Risk-Off,0.004333143395058636
2000-12-31,1,Risk-Off,0.006724720379474247
2001-01-31,1,Risk-Off,0.0074691333717110675
2001-02-28,1,Risk-Off,0.009879920935789599
2001-03-31,1,Risk-Off,0.009805265545879904
2001-04-30,1,Risk-Off,0.0504756684796982
2001-05-31,1,Risk-Off,0.02809196872446318
2001-06-30,1,Risk-Off,0.07132468464537634
2001-07-31,1,Risk-Off,0.04891278493346951
2001-08-31,1,Risk-Off,0.11422405003511782
2001-09-30,1,Risk-Off,0.24133623763650724
2001-10-31,1,Risk-Off,0.04638111472230966
2001-11-30,1,Risk-Off,0.2091156317407502
2001-12-31,0,Risk-On,0.9416764378995138
2002-01-31,0,Risk-On,0.996102008760021
2002-02-28,0,Risk-On,0.9992385151744917
2002-03-31,0,Risk-On,0.9994676228443201
2002-04-30,0,Risk-On,0.9989946024342656
2002-05-31,0,Risk-On,0.9965520246051338
2002-06-30,0,Risk-On,0.9886887028082344
2002-07-31,0,Risk-On,0.9594220882275099
2002-08-31,0,Risk-On,0.9373402077549736
2002-09-30,0,Risk-On,0.8179020718321283
2002-10-31,0,Risk-On,0.5568312976381682
2002-11-30,1,Risk-Off,0.16874290910895873
2002-12-31,1,Risk-Off,0.21035590606487553
2003-01-31,1,Risk-Off,0.06574919372229326
2003-02-28,1,Risk-Off,0.0746577582406529
2003-03-31,1,Risk-Off,0.1704627951671296
2003-04-30,1,Risk-Off,0.47323824616922805
2003-05-31,0,Risk-On,0.778270473717992
2003-06-30,0,Risk-On,0.9897016901627759
2003-07-31,0,Risk-On,0.998342482444382
2003-08-31,0,Risk-On,0.9985984793888276
2003-09-30,0,Risk-On,0.9986653055572328
2003-10-31,0,Risk-On,0.9979919731488612
2003-11-30,0,Risk-On,0.9974686659925744
2003-12-31,0,Risk-On,0.9965499243560032
2004-01-31,0,Risk-On,0.994288077083752
2004-02-29,0,Risk-On,0.9898815449852418
2004-03-31,0,Risk-On,0.9792094823825052
2004-04-30,0,Risk-On,0.9405995923467801
2004-05-31,0,Risk-On,0.9382841910328119
2004-06-30,0,Risk-On,0.8251849476394869
2004-07-31,0,Risk-On,0.5755536217715116
2004-08-31,1,Risk-Off,0.2611858890538461
2004-09-30,1,Risk-Off,0.026182107154650414
2004-10-31,1,Risk-Off,0.012921177761629155
2004-11-30,1,Risk-Off,0.02297654633187496
2004-12-31,1,Risk-Off,0.056404106838227164
2005-01-31,1,Risk-Off,0.05582539519819285
2005-02-28,1,Risk-Off,0.045614362127510466
2005-03-31,1,Risk-Off,0.07489353775352892
2005-04-30,1,Risk-Off,0.018025690044428
2005-05-31,1,Risk-Off,0.022186862509505856
2005-06-30,1,Risk-Off,0.026403832976355623
2005-07-31,1,Risk-Off,0.039508428114135796
2005-08-31,1,Risk-Off,0.1066720141202474
2005-09-30,1,Risk-Off,0.08909759545596363
2005-10-31,1,Risk-Off,0.3933580519610972
2005-11-30,0,Risk-On,0.7976780564545853
2005-12-31,0,Risk-On,0.9752094039495738
2006-01-31,0,Risk-On,0.9939456126327599
2006-02-28,0,Risk-On,0.9970194548923599
2006-03-31,0,Risk-On,0.9961376675816386
2006-04-30,0,Risk-On,0.9930924068208398
2006-05-31,0,Risk-On,0.9763605827085664
2006-06-30,0,Risk-On,0.9309731620128967
2006-07-31,0,Risk-On,0.6392187654162976
2006-08-31,1,Risk-Off,0.29369254414350643
2006-09-30,1,Risk-Off,0.019337562348041626
2006-10-31,1,Risk-Off,0.049492544424483365
2006-11-30,1,Risk-Off,0.09723499828843285
2006-12-31,1,Risk-Off,0.46923691963583236
2007-01-31,0,Risk-On,0.6723261716966147
2007-02-28,0,Risk-On,0.8990348671526083
2007-03-31,0,Risk-On,0.9152053166724304
2007-04-30,0,Risk-On,0.9811871869140525
2007-05-31,0,Risk-On,0.9796773749734561
2007-06-30,0,Risk-On,0.8964516745832524
2007-07-31,1,Risk-Off,0.04214213171178516
2007-08-31,1,Risk-Off,0.0032351237201555527
2007-09-30,1,Risk-Off,0.0014053403997629221
2007-10-31,1,Risk-Off,0.001377352878968674
2007-11-30,1,Risk-Off,0.0017317750164899115
2007-12-31,1,Risk-Off,0.003507970801726379
2008-01-31,1,Risk-Off,0.00281028527481586
2008-02-29,1,Risk-Off,0.005916506336461347
2008-03-31,1,Risk-Off,0.012259438538900436
2008-04-30,1,Risk-Off,0.01004510051169627
2008-05-31,1,Risk-Off,0.012253669586280491
2008-06-30,1,Risk-Off,0.010979928104489556
2008-07-31,1,Risk-Off,0.005224408538969105
2008-08-31,1,Risk-Off,0.0022682419992303693
2008-09-30,1,Risk-Off,0.0013828528891581815
2008-10-31,1,Risk-Off,0.0029565274932910057
