report_date,default
1990-01-03,-0.0025855597875948932
1990-01-04,-0.008613000334485421
1990-01-05,-0.009756234711952194
1990-01-08,0.004514480408858601
1990-01-09,-0.011786653099296274
1990-01-10,-0.0066071735026600464
1990-01-11,0.003512711986409789
1990-01-12,-0.024675063839554645
1990-01-15,-0.008619421645632896
1990-01-16,0.011127596439169052
1990-01-17,-0.009831254585473292
1990-01-18,0.0023414344991108393
1990-01-19,0.002838641000620923
1990-01-22,-0.025858764558454927
1990-01-23,0.0037229856528846472
1990-01-24,-0.004071047314616605
1990-01-25,-0.0126566947253679
1990-01-26,-0.0008586849852796341
1990-01-29,-0.0018416206261511192
1990-01-30,-0.00682656826568262
1990-01-31,0.018886618366462216
1990-02-01,-0.0008812446821440112
1990-02-02,0.006478299218346084
1990-02-05,0.0028103469116402824
1990-02-06,-0.006599367183968696
1990-02-07,0.012406722077291654
1990-02-08,-0.0023670411985019513
1990-02-09,0.0019822200864969552
1990-02-12,-0.01061087464780297
1990-02-13,0.0028477944740668004
1990-02-14,0.0029907558455681826
1990-02-15,0.008674437516942302
1990-02-16,-0.006479739615993241
1990-02-20,-0.014216157730223666
1990-02-21,-0.0009756395012042729
1990-02-22,-0.006012146366771498
1990-02-23,-0.0047589806570463855
1990-02-26,0.013944161653555609
1990-02-27,0.00483767913104316
1990-02-28,0.004935505359413783
1990-03-01,0.002561089517611359
1990-03-02,0.008414978662018457
1990-03-05,-0.00536448709542825
1990-03-06,0.012554683286390533
1990-03-07,-0.0029000088775782418
1990-03-08,0.00985309393085032
1990-03-09,-0.006876891879977642
1990-03-12,0.002189802621844761
1990-03-13,-0.007883780671450125
1990-03-14,0.0025892857142857384
1990-03-15,0.0035622050048980114
1990-03-16,0.011358594373946262
1990-03-19,0.00473808897078154
1990-03-20,-0.005705469682414921
1990-03-21,-0.0053576133735397935
1990-03-22,-0.011920880673456202
1990-03-23,0.004557776520003554
1990-03-26,0.00121582349801308
1990-03-27,0.01146225157717029
1990-03-28,0.0014641288433381305
1990-03-29,-0.0035380116959063956
1990-03-30,-0.0024942046421551067
1990-04-02,-0.003647702535741648
1990-04-03,0.014585178624151096
1990-04-04,-0.007420556396228628
1990-04-05,-0.0010554399132192138
1990-04-06,-0.0019076688286914223
1990-04-09,0.0037932251235004433
1990-04-10,0.00205056097489531
1990-04-11,-0.00043850673838685683
1990-04-12,0.007077678989237057
1990-04-16,0.0011616425625835536
1990-04-17,-0.00017404420722866298
1990-04-18,-0.01148891725658574
1990-04-19,-0.007718948109885049
1990-04-20,-0.008784643142358495
1990-04-23,-0.012144903318214384
1990-04-24,-0.002084277299501558
1990-04-25,0.005055091415425483
1990-04-26,0.002680480679456698
1990-04-27,-0.011444190796587761
1990-04-30,0.005135061225729931
1990-05-01,0.004383313180169157
1990-05-02,0.006711813393529109
1990-05-03,0.0032587897632143648
1990-05-04,0.008403611765056551
1990-05-07,0.006324063949880276
1990-05-08,0.004346166270225771
1990-05-09,0.0024853074471506975
1990-05-10,0.002799976666861159
1990-05-11,0.023791518817986246
1990-05-14,0.0078125
1990-05-15,-0.0013248766737139483
1990-05-16,-0.0007903353279891112
1990-05-17,0.001327683615819364
1990-05-18,0.00047958924591640084
1990-05-21,0.009474396571170773
1990-05-22,0.0012011173184358626
1990-05-23,0.00239935273275127
1990-05-24,-0.0024492749589467566
1990-05-25,-0.010686085767696363
1990-05-29,0.017118844830503743
1990-05-30,0.0005822819908498644
1990-05-31,0.001025328382198154
1990-06-01,0.005342856351908676
1990-06-04,0.011675294635973055
1990-06-05,-0.002068590092542122
1990-06-06,-0.004582151429194825
1990-06-07,-0.00495944761069711
1990-06-08,-0.012226352746798841
1990-06-11,0.008140280449388193
1990-06-12,0.01277548875922907
1990-06-13,-0.0036860068259386702
1990-06-14,-0.00548095368594137
1990-06-15,2.755580049607076e-05
1990-06-18,-0.01661568984045636
1990-06-19,0.0044552790854068824
1990-06-20,0.0017574692442881013
1990-06-21,0.0038150932887774935
1990-06-22,-0.013981746053763233
1990-06-25,-0.00877809976648003
1990-06-26,-0.0007096023388493133
1990-06-27,0.008748508776913022
1990-06-28,0.007011319479641953
1990-06-29,0.0010905125408942062
1990-07-02,0.004245572873023962
1990-07-03,0.0017244256550035253
1990-07-05,-0.012438916037316838
1990-07-06,0.007703553756185366
1990-07-09,0.0030690251660061563
1990-07-10,-0.008427903871829012
1990-07-11,0.013296305646722129
1990-07-12,0.011654624477479558
1990-07-13,0.0051171190893168905
1990-07-16,0.004464893414282134
1990-07-17,-0.00387586393820305
1990-07-18,-0.008979103178058168
1990-07-19,0.0030201526549886726
1990-07-20,-0.01015548012701184
1990-07-23,-0.017422084566245388
1990-07-24,0.001350932988094966
1990-07-25,0.0036538407487560765
1990-07-26,-0.0033044890643814107
1990-07-27,-0.006939956730634189
1990-07-30,0.005969895880489018
1990-07-31,0.0016875263675995011
1990-08-01,-0.0017689175909026966
1990-08-02,-0.011363636363636243
1990-08-03,-0.018834642084898157
1990-08-06,-0.03024415704923744
1990-08-07,0.0011960649463265138
1990-08-08,0.010512797539049767
1990-08-09,0.004699275897738886
1990-08-10,-0.013002294522562852
1990-08-13,0.0098950882212685
1990-08-14,0.0016231849840633306
1990-08-15,0.001974130056866752
1990-08-16,-0.02255484326295365
1990-08-17,-0.013718824272691776
1990-08-20,0.0020742457981270945
1990-08-21,-0.020242914979757054
1990-08-22,-0.01649785621077493
1990-08-23,-0.02997946611909652
1990-08-24,0.01449228163876759
1990-08-27,0.03187698629257496
1990-08-28,-0.00031110004977608074
