datetime,sec_code,shares,price,value,weight
2017-08-01,CASH,0.0,1.0,0.0,0.0
2017-08-01,CPER.P,16064.282404087335,18.566,298249.46711428545,0.2998937069989385
2017-08-01,CQQQ.P,4364.507788164623,56.928260681776,248463.83711227725,0.24983361039243338
2017-08-01,MCHI.O,2890.4628712899544,68.870652706558,199068.06456981093,0.2001655205173213
2017-08-01,USO.P,14727.171779204353,10.09,148597.16325217191,0.14941637471608343
2017-08-01,INDA.B,2766.1142632152337,36.201948371119,100138.72574553377,0.10069078737522329
2017-09-01,CASH,2733.550423415145,1.0,2733.550423415145,0.002642225625777949
2017-09-01,CQQQ.P,4187.927615841102,61.919049169366,259312.4959630109,0.25064916163569617
2017-09-01,MCHI.O,3603.492131069402,71.53059598949,257759.93977883173,0.249148474580444
2017-09-01,IEF.O,1905.9441565935217,107.92205460812,205693.4093479133,0.198821427465635
2017-09-01,IEI.O,1240.1094166169255,124.45101024241,154332.8697091021,0.14917678479688648
2017-09-01,CBON.P,6192.017189308607,24.988839328992,154731.32266598943,0.14956192589556042
2017-10-02,CASH,737.1422790019715,1.0,737.1422790019715,0.0007032416075264537
2017-10-02,CQQQ.P,2445.7911974823805,63.992999051987,156513.51378184813,0.14931556385638584
2017-10-02,IJT.O,1571.4828710791437,167.16852576479,262702.47482292,0.25062096688549035
2017-10-02,VEGI.P,8349.08482751151,31.178126998599,260308.8270742299,0.2483374013668771
2017-10-02,XLE.P,2206.9951228970153,95.132962224408,209957.98365601446,0.2003021589525102
2017-10-02,IJS.P,415.7719703336823,379.98317193116,157986.35208746075,0.15072066733121012
2017-11-01,CASH,6858.5513741895265,1.0,6858.5513741895265,0.006492174502210194
2017-11-01,CQQQ.P,1575.1704689988258,66.566027783366,104852.84120291348,0.09925170856102106
2017-11-01,VEGI.P,4940.7262702746,32.031866607024,158260.6848312552,0.14980655924374597
2017-11-01,XMMO.P,7374.186464586674,42.412779343477,312759.7433601694,0.2960524344545919
2017-11-01,EWJ.P,16794.501506352695,15.665143293293,263088.2726364401,0.2490343634179829
2017-11-01,XLB.P,2346.4924774181795,89.756742433874,210613.52091864642,0.19936275982044793
2017-12-01,CASH,0.0,1.0,0.0,0.0
2017-12-01,CQQQ.P,4793.3147842553135,67.065106632125,321464.1671274238,0.2996698939888633
2017-12-01,XMMO.P,6031.136636045772,44.613141580094,269067.9526328019,0.2508259802695553
2017-12-01,EWJ.P,6819.346588868782,15.840439912038,108021.44988033726,0.10069793073183383
2017-12-01,EWH.P,7564.3734925202625,28.579736043205,216187.79774844582,0.20153093581743667
2017-12-01,IJK.P,323.39024860124675,488.53122964022,157986.2358028235,0.14727525919231085
2018-01-02,CASH,7739.390423910692,1.0,7739.390423910692,0.007056917117461137
2018-01-02,XMMO.P,2400.3157971725295,45.601710121182,109458.50518195558,0.09980625818847622
2018-01-02,XLI.P,2574.8839560074757,105.71065595107,272192.6719874363,0.24819023475818244
2018-01-02,XLF.P,5408.1421964339415,49.894126227881,269834.5294072047,0.24604003741338412
2018-01-02,XLY.P,1756.2264438077298,125.01157419903,219548.63239036858,0.20018844084207596
2018-01-02,SPY.P,578.7676120978383,376.55201047745,217936.10793467393,0.19871811168042006
2018-02-01,CASH,0.0,1.0,0.0,0.0
2018-02-01,XMMO.P,6046.337522553708,48.184744051124,291341.2259709576,0.2522037190415195
2018-02-01,XLF.P,3277.5813370261776,53.646907928402,175832.10421529209,0.15221158784583852
2018-02-01,XLY.P,2167.318021761474,133.02209726878,288301.1887031346,0.24957206709313987
2018-02-01,SPYG.P,1360.3271634712644,170.48782353411,231919.21739454533,0.20076420338099926
2018-02-01,MCHI.O,1967.4680144144797,85.281376400389,167788.3802930072,0.14524842263850288
2018-03-01,CASH,1988.0307547460543,1.0,1988.0307547460543,0.0017722695954388546
2018-03-01,SPYG.P,335.6212592104662,165.01943748264,55384.031402126435,0.04937319741784254
2018-03-01,USO.P,32141.5128204251,12.35,396947.68333225,0.3538669150213928
2018-03-01,EWZ.P,3752.715864734083,74.658958003772,280173.8561452708,0.24976656195972688
2018-03-01,CQQQ.P,3184.101495528159,69.582221196769,221556.85457480332,0.19751126892106305
2018-03-01,XLK.P,1992.8969188095969,83.141479432534,165692.39818636846,0.1477097870845359
2018-04-02,CASH,0.0,1.0,0.0,0.0
2018-04-02,USO.P,30432.404249300762,12.74,387708.83013609174,0.35013877759008255
2018-04-02,EWZ.P,2307.102270927793,72.524437541821,167321.29455049612,0.151107400670076
2018-04-02,XLK.P,1392.2692284842515,79.445175055758,110609.07258167649,0.0998907490719946
2018-04-02,KSA.P,9280.58963991147,30.434099016344,282446.38403112197,0.25507655217623554
2018-04-02,XMMO.P,3372.710345590575,47.206805279294,159214.88054775464,0.14378652049161136
2018-05-01,CASH,0.0,1.0,0.0,0.0
2018-05-01,USO.P,33767.47831887968,13.61,459575.3799199524,0.39933125732175445
2018-05-01,KSA.P,9014.027512985454,32.211272681532,290353.2981796062,0.25229190399576185
2018-05-01,XMMO.P,8206.705819180455,48.854419514442,400933.84892185434,0.3483768386824837
2018-06-01,CASH,0.0,1.0,0.0,0.0
2018-06-01,USO.P,26310.273673143518,13.25,348611.1261691516,0.2964252784390422
2018-06-01,KSA.P,3577.101728851747,33.078702684778,118325.88456189231,0.10061291979759146
2018-06-01,XMMO.P,5666.8308864268765,52.453659385545,297246.01711212145,0.2527493438192903
2018-06-01,XLK.P,2686.8085470668043,88.439672638801,237620.46834572073,0.2020495279832775
2018-06-01,IJT.O,918.6609181214526,189.67510105623,174247.10248109556,0.1481629299607984
