datetime,sec_code,shares,price,value,weight
2017-08-01,CASH,-2.9103830456733704e-11,1.0,-2.9103830456733704e-11,-2.918358326163279e-17
2017-08-01,CQQQ.P,4364.507788164623,56.928260681776,248463.83711227725,0.249144698964986
2017-08-01,MCHI.O,3613.0785891124433,68.870652706558,248835.08071226368,0.2495169598784303
2017-08-01,EWY.P,2437.771084904762,82.024363463957,199956.621510153,0.20050455974279513
2017-08-01,IEMG.P,2562.663031496273,58.456212673716,149803.5751802159,0.15021407974669534
2017-08-01,INDA.B,4149.171394822851,36.201948371119,150208.08861830065,0.15061970166709326
2017-09-01,CASH,4468.527478910852,1.0,4468.527478910852,0.0043563322831259065
2017-09-01,CQQQ.P,4968.4661447004255,61.919049169366,307642.699510036,0.29991844737860446
2017-09-01,MCHI.O,3562.587174817752,71.53059598949,254833.9838792272,0.24843564598180506
2017-09-01,EWY.P,1909.3617359928985,80.167868974168,153069.46147536865,0.1492262137209404
2017-09-01,IEMG.P,3408.8086630137736,59.932769223815,204299.34292854584,0.1991698220994179
2017-09-01,EWG.P,2112.8177725831715,48.011946088248,101440.49299155545,0.09889353853610632
2017-10-02,CASH,3224.8214727002196,1.0,3224.8214727002196,0.0030783305089545844
2017-10-02,CQQQ.P,5714.272733688321,63.992999051987,365673.44962971186,0.34906234216037535
2017-10-02,MCHI.O,3556.685719083109,73.027533767763,259735.98645166217,0.24793720152764964
2017-10-02,IJT.O,1258.8223366960558,167.16852576479,210435.47422526774,0.20087621778688972
2017-10-02,VEGI.P,6687.959929607348,31.178126998599,208518.06404683914,0.19904590801613067
2017-11-01,CASH,10409.715242952749,1.0,10409.715242952749,0.00969648856207031
2017-11-01,XLK.P,5464.092223544729,77.791006712105,425057.2348373287,0.39593423255411714
2017-11-01,XLF.P,7864.32050093929,47.386038647471,372658.99519360764,0.34712608367397135
2017-11-01,VONG.O,1803.053672015723,147.21092882609,265429.2057807268,0.247243195209841
2017-12-01,CASH,0.0,1.0,0.0,0.0
2017-12-01,XMMO.P,8580.075907046095,44.613141580094,382784.1412090009,0.3516338814269215
2017-12-01,CQQQ.P,4058.9960756908004,67.065106632125,272217.0046355804,0.25006449229607897
2017-12-01,XHB.P,4449.486265908204,49.080101857726,218381.23914532753,0.2006097810346972
2017-12-01,EWH.P,3843.3230909915355,28.579736043205,109841.15946929283,0.10090249069000008
2017-12-01,IJK.P,215.6743432954201,488.53122964022,105363.65213195852,0.09678935455230221
2018-01-02,CASH,7042.979765300959,1.0,7042.979765300959,0.006330394172492349
2018-01-02,XMMO.P,6090.790142354992,45.601710121182,277750.4464806252,0.24964856728265267
2018-01-02,XHB.P,3307.263909954311,50.11382684107,165739.65090117048,0.14897065662247458
2018-01-02,XLF.P,5489.254241845291,49.894126227881,273881.5440395602,0.24617110770119485
2018-01-02,XLI.P,2090.801930037021,105.71065595107,221020.04348797665,0.19865796039817316
2018-01-02,XLY.P,1336.9249234981085,125.01157419903,167131.08927241628,0.15022131382301254
2018-02-01,CASH,0.0,1.0,0.0,0.0
2018-02-01,XMMO.P,7315.573292856092,48.184744051124,352499.0267035092,0.301866184219089
2018-02-01,XLF.P,5507.784764301339,53.646907928402,295475.62213992927,0.25303360244499046
2018-02-01,XLY.P,1748.1848891147588,133.02209726878,232547.2203636348,0.19914421528593465
2018-02-01,SPYG.P,1028.6777976663834,170.48782353411,175377.03884200327,0.15018593954702528
2018-02-01,VONG.O,685.3028331203578,163.18892541135,111833.8329182649,0.09577005850296066
2018-03-01,CASH,127.94262839299336,1.0,127.94262839299336,0.00011284676956777615
2018-03-01,SPYG.P,1702.8227998014854,165.01943748264,280998.8605558552,0.24784400683526062
2018-03-01,USO.P,37274.1930962705,12.35,460336.28473894065,0.40602153715380657
2018-03-01,XLK.P,4718.583130064326,83.141479432534,392309.98225894506,0.346021609241365
2018-04-02,CASH,0.0,1.0,0.0,0.0
2018-04-02,USO.P,35357.775588669065,12.74,450458.0609996439,0.39973556006994115
2018-04-02,KSA.P,13208.707693113636,30.434099016344,401995.11781016516,0.35672964361349363
2018-04-02,XMMO.P,5813.504195840479,47.206805279294,274436.9605634002,0.24353479631656508
2018-05-01,CASH,0.0,1.0,0.0,0.0
2018-05-01,USO.P,21831.039707829805,13.61,297120.45042356366,0.2499777143903447
2018-05-01,KSA.P,9324.265943941991,32.211272681532,300346.4728754379,0.25269187868950965
2018-05-01,XMMO.P,3702.725911818912,48.854419514442,180894.52504299593,0.1521928223099815
2018-05-01,XLE.P,2310.874990561741,103.35180283175,238833.0963933592,0.2009385468824867
2018-05-01,XRT.P,1644.7193441416794,104.20818067253,171393.21056992118,0.14419903772767742
2018-06-01,CASH,0.0,1.0,0.0,0.0
2018-06-01,USO.P,22658.576708073626,13.25,300226.14138197555,0.2465208068969438
2018-06-01,KSA.P,5545.12137961182,33.078702684778,183425.4214671854,0.15061374301837285
2018-06-01,XMMO.P,4685.098717324941,52.453659385545,245750.57230621626,0.20178998771208043
2018-06-01,XLK.P,3470.8451717340454,88.439672638801,306960.410768122,0.25205043038440034
2018-06-01,IJT.O,956.8499171633769,189.67510105623,181490.6047336088,0.14902503198820258
2018-07-02,CASH,0.0,1.0,0.0,0.0
2018-07-02,USO.P,20870.081743310704,14.96,312216.42287992814,0.24997184365825467
2018-07-02,KSA.P,3803.418618578488,32.933817255844,125261.09373173854,0.10028859548754092
2018-07-02,XMMO.P,4855.799729486856,52.426021985471,254570.26337512207,0.20381822804023209
2018-07-02,XLY.P,2299.3520090487086,137.3270051015,315763.12507677625,0.2528114626599555
2018-07-02,XRT.P,2144.409319883574,112.47640738152,241195.45625595312,0.1931098701540168
2018-08-01,CASH,0.0,1.0,0.0,0.0
2018-08-01,USO.P,13244.839026028723,14.09,186619.7818767447,0.1504392821253736
2018-08-01,KSA.P,5521.879497042894,33.243405813517,183566.0809735361,0.1479776107683268
2018-08-01,XMMO.P,5952.106803600085,52.798063909537,314259.7154128673,0.25333330428421913
2018-08-01,XLY.P,2225.661076020677,138.92047514699,309189.8941969534,0.2492463835057466
2018-08-01,XRT.P,2168.8500943613285,113.82231859013,246863.54641462862,0.1990034193163338
2018-09-04,CASH,2255.3942967303738,1.0,2255.3942967303738,0.0017304373965785218
2018-09-04,USO.P,21931.819148548806,14.58,319765.9231858416,0.2453384370238057
2018-09-04,XMMO.P,6710.536113294351,58.878291925694,395104.90425645676,0.3031418066845826
2018-09-04,XLY.P,888.7232487761171,147.01329545676,130654.13355161493,0.10024358004409166
2018-09-04,IJT.O,1237.151892012059,210.15077386592,259988.42749602132,0.19947452127061155
