datetime,sec_code,shares,price,value,weight
2017-08-01,CASH,0.0,1.0,0.0,0.0
2017-08-01,CPER.P,53547.60801362445,18.566,994164.8903809515,1.0
2017-09-01,CASH,3686.8606822314614,1.0,3686.8606822314614,0.003462147531699007
2017-09-01,CPER.P,26640.868749160552,19.95,531485.331545753,0.49909144590504406
2017-09-01,GLD.P,2520.5335864414897,126.06,317738.46390681417,0.29837239140671956
2017-09-01,SLV.P,1267.1551455315864,167.3,211995.0558474344,0.1990740151565375
2017-10-02,CASH,0.0,1.0,0.0,0.0
2017-10-02,USO.P,44818.96698426043,10.21,457601.652909299,0.4516561561254992
2017-10-02,DBC.P,21798.95005603785,16.284406799875,354982.9705226783,0.3503707710340444
2017-10-02,GSG.P,13617.049858137325,14.73,200579.1444103628,0.19797307284045632
2017-11-01,CASH,7560.342167339055,1.0,7560.342167339055,0.007047496188786111
2017-11-01,USO.P,24280.194701602555,10.9,264654.12224746787,0.24670165405252062
2017-11-01,DBC.P,9352.990248206672,17.084230316568,159788.63954897728,0.1489495849933313
2017-11-01,CPER.P,31910.69973889499,20.08,640766.8507570113,0.5973012647653622
2017-12-01,CASH,4038.612989386049,1.0,4038.612989386049,0.003738866115745111
2017-12-01,USO.P,41446.123484732576,11.67,483676.26106682915,0.4477776871034051
2017-12-01,DBC.P,21671.007445740677,17.382831096134,376703.4621123725,0.34874443624020873
2017-12-01,GLD.P,1774.423823005474,121.59,215752.1926392356,0.19973901054064103
2018-01-02,CASH,5229.354578786617,1.0,5229.354578786617,0.0047354091909459165
2018-01-02,USO.P,18283.789276163774,12.07,220685.33656329676,0.1998402203033077
2018-01-02,DBC.P,6203.18208753971,17.798739324814,110408.82096047484,0.0999800142944311
2018-01-02,CPER.P,26184.78127234181,20.922,547837.9937799354,0.4960912540562179
2018-01-02,GSG.P,13448.222825307541,16.37,220147.40765028447,0.19935310215509733
2018-02-01,CASH,2708.117490006749,1.0,2708.117490006749,0.002395793427924606
2018-02-01,USO.P,34147.350250299256,13.24,452110.9173139622,0.39996948743573757
2018-02-01,DBC.P,12232.017430226088,18.417269511057,225280.36167642073,0.1992990377767923
2018-02-01,GSG.P,23043.421203695456,17.1,394042.5025831923,0.3485980359033182
2018-02-01,GLD.P,438.9913324362265,128.07,56221.61994510753,0.04973764545622719
2018-03-01,CASH,-1.4551915228366852e-11,1.0,-1.4551915228366852e-11,-1.3578123318279247e-17
2018-03-01,USO.P,30541.837580531934,12.35,377191.6941195694,0.35195060285964613
2018-03-01,DBC.P,18217.798532064327,17.734753443479,323088.16524913453,0.30146759939046686
2018-03-01,GSG.P,9905.897585643426,16.31,161565.18962184427,0.15075349424453557
2018-03-01,CPER.P,5416.895894934128,19.94,108012.90414498652,0.10078484580415599
2018-03-01,DBA.P,5064.369850140661,20.113016989152,101859.75683522828,0.09504345770119547
2018-04-02,CASH,0.0,1.0,0.0,0.0
2018-04-02,USO.P,50504.23348975467,12.74,643423.9346594745,0.5977904175646971
2018-04-02,DBC.P,15158.932127110953,17.862725206149,270779.8390052467,0.2515753367376917
2018-04-02,GSG.P,9898.242343641201,16.38,162133.20958884287,0.15063424569761105
2018-05-01,CASH,-1.4551915228366852e-11,1.0,-1.4551915228366852e-11,-1.274460955813378e-17
2018-05-01,USO.P,16822.97694182719,13.61,228960.71617826805,0.20052445922406575
2018-05-01,DBC.P,12361.765103860329,18.619891468619,230174.72459444098,0.20158769131562249
2018-05-01,GSG.P,33128.10045075003,17.31,573447.418802483,0.5022269124074248
2018-05-01,DBA.P,5425.064609111203,20.133688126859,109226.55890790519,0.09566093705288711
2018-06-01,CASH,0.0,1.0,0.0,0.0
2018-06-01,USO.P,16822.97694182719,13.25,222904.44447921027,0.19444655378411477
2018-06-01,DBC.P,27207.324704780553,19.099785578635,519654.06802960736,0.45331057855007145
2018-06-01,GSG.P,23060.809039289776,17.51,403794.766277964,0.3522428676658137
2018-07-02,CASH,0.0,1.0,0.0,0.0
2018-07-02,USO.P,54528.21320623061,14.96,815742.06956521,0.7000527928084777
2018-07-02,GSG.P,19791.385182877963,17.66,349515.8623296248,0.2999472071915223
2018-08-01,CASH,0.0,1.0,0.0,0.0
2018-08-01,USO.P,47633.114962394466,14.09,671150.5898201381,0.6074374123008033
2018-08-01,GSG.P,25469.047256840164,17.03,433737.874783988,0.39256258769919666
2018-09-04,CASH,9440.805523874442,1.0,9440.805523874442,0.008314817171826685
2018-09-04,USO.P,53885.79176214001,14.58,785654.8438920014,0.6919511656714121
2018-09-04,GSG.P,6524.820675699437,17.36,113270.88693014222,0.09976126648653452
2018-09-04,DBC.P,12321.129540192522,18.427933824613,227052.9598111522,0.19997275067022666
2018-10-01,CASH,686.2208299862032,1.0,686.2208299862032,0.0005584065053005009
2018-10-01,USO.P,46383.28082377665,15.95,739813.3291392375,0.6020169567100969
2018-10-01,GSG.P,9919.161875945612,18.5,183504.49470499382,0.14932525962117776
2018-10-01,DBC.P,15614.132180382052,19.526358120871,304887.13670075627,0.24809937716342476
2018-11-01,CASH,3728.57628360542,1.0,3728.57628360542,0.0033997927688362737
2018-11-01,GLD.P,7493.245441998265,116.63,873937.2159002576,0.7968739811222356
2018-11-01,DBA.P,12027.777743488932,18.211272320085,219041.13589213442,0.1997262261089279
2018-12-03,CASH,7923.520279934863,1.0,7923.520279934863,0.007329748025993637
2018-12-03,CPER.P,60798.01863843345,17.65,1073085.0289683503,0.9926702519740064
2019-01-02,CASH,0.0,1.0,0.0,0.0
2019-01-02,GLD.P,4974.916556045214,121.33,603606.6257449657,0.6059562192190958
2019-01-02,SLV.P,2695.8508047339146,145.6,392515.87716925796,0.3940437807809042
2019-02-01,CASH,0.0,1.0,0.0,0.0
2019-02-01,GLD.P,1641.1388785651611,124.5,204321.79038136255,0.19704434813108432
2019-02-01,GSG.P,30319.798009467893,15.4,466924.88934580557,0.4502941672329594
2019-02-01,USO.P,31443.365195799808,11.63,365686.3372271518,0.3526614846359564
2019-03-01,CASH,0.0,1.0,0.0,0.0
2019-03-01,GLD.P,3400.5723444117657,121.88,414461.757336906,0.3998784944969743
2019-03-01,CPER.P,34063.936352399905,18.26,622007.4777948223,0.6001215055030257
2019-04-01,CASH,2520.892333104741,1.0,2520.892333104741,0.002386472044846848
2019-04-01,USO.P,82200.08195165996,12.82,1053805.0506202807,0.9976135279551531
2019-05-01,CASH,0.0,1.0,0.0,0.0
2019-05-01,CPER.P,36770.85206732499,17.48,642754.4941368408,0.5981472080364444
2019-05-01,GLD.P,2258.365697489182,120.4,271907.22997769754,0.253036815673291
2019-05-01,SLV.P,1163.0112122572543,137.5,159914.04168537247,0.14881597629026463
2019-06-03,CASH,6535.6979283932815,1.0,6535.6979283932815,0.006187789358453683
2019-06-03,GLD.P,6713.380363773294,125.11,839911.0173116769,0.7952008357655027
2019-06-03,SLV.P,1512.460728650378,138.7,209778.30306380743,0.19861137487604358
2019-07-01,CASH,1.4551915228366852e-11,1.0,1.4551915228366852e-11,1.3254778205161496e-17
2019-07-01,GLD.P,5937.016559070005,130.62,775493.1029457242,0.7063667508961737
2019-07-01,SLV.P,2273.404372467923,141.8,322368.7400159515,0.29363324910382627
2019-08-01,CASH,0.0,1.0,0.0,0.0
2019-08-01,GLD.P,2571.2558956899647,136.41,350745.0167310681,0.3039605275086295
2019-08-01,SLV.P,5235.797356353547,153.4,803171.3144646342,0.6960394724913704
2019-09-03,CASH,27414.693760384544,1.0,27414.693760384544,0.02095844985405007
2019-09-03,GLD.P,3928.9904597369236,145.75,572650.3595066566,0.4377894551194016
2019-09-03,SLV.P,3957.4322705313057,178.9,707984.6331980507,0.5412520950265484
2019-10-01,CASH,0.0,1.0,0.0,0.0
2019-10-01,GLD.P,5218.374224484729,139.63,728641.5929648026,0.5997722346199827
2019-10-01,SLV.P,3010.663994916486,161.5,486222.23517901247,0.4002277653800173
2019-11-01,CASH,0.0,1.0,0.0,0.0
2019-11-01,GLD.P,3078.3589474562527,142.56,438850.8515493634,0.3502418698583375
2019-11-01,SLV.P,3338.384030892885,169.2,564854.5780270761,0.4508040098538857
2019-11-01,CPER.P,14958.791272084101,16.665,249288.25654928153,0.1989541202877768
2019-12-02,CASH,0.0,1.0,0.0,0.0
2019-12-02,GLD.P,3942.718259595351,137.79,543267.1489896433,0.4535962551128659
2019-12-02,SLV.P,2665.1888184623313,158.0,421099.8333170483,0.35159370077226315
2019-12-02,USO.P,19993.29953812528,11.67,233321.805609922,0.19481004411487113
2020-01-02,CASH,7287.934814543405,1.0,7287.934814543405,0.0057417892116290266
2020-01-02,SLV.P,4497.10980310678,168.1,755964.1579022497,0.5955853004556958
2020-01-02,CPER.P,18000.410982201505,17.695,318517.27233005565,0.25094338581797504
2020-01-02,DBA.P,10710.821186125251,17.506598256349,187510.04350108627,0.14772952451470014
2020-02-03,CASH,0.0,1.0,0.0,0.0
2020-02-03,SLV.P,2947.0513656264943,165.0,486263.47532837157,0.40221023273737844
2020-02-03,GLD.P,4871.359557903499,148.36,722714.9040105632,0.5977897672626215
2020-03-02,CASH,11362.480195347685,1.0,11362.480195347685,0.009594262516704208
2020-03-02,SLV.P,1510.2131022345613,155.6,234989.15870769773,0.19842038344271304
2020-03-02,GLD.P,6286.513740235067,149.2,937947.850043072,0.7919853540405827
2020-04-01,CASH,1290.8709594361717,1.0,1290.8709594361717,0.0011241169024380252
2020-04-01,GLD.P,7675.151572767435,149.45,1147051.4025500931,0.9988758830975619
2020-05-01,CASH,0.0,1.0,0.0,0.0
2020-05-01,GLD.P,3084.246897286742,159.78,492800.9692484756,0.41122677282941417
2020-05-01,CPER.P,48492.57340744552,14.55,705566.9430783323,0.5887732271705858
2020-06-01,CASH,0.0,1.0,0.0,0.0
2020-06-01,GLD.P,2306.649908738688,163.66,377506.3240641736,0.2996603926567075
2020-06-01,SLV.P,5159.498198032503,171.0,882274.191863558,0.7003396073432926
2020-07-01,CASH,0.0,1.0,0.0,0.0
2020-07-01,GLD.P,2643.70354703696,166.62,440493.8850072983,0.35013990575930953
2020-07-01,CPER.P,36787.22844918986,17.11,629429.4787656385,0.5003210847603038
2020-07-01,USO.P,53087.18496008535,3.54375,188127.71170230248,0.14953900948038668
2020-08-03,CASH,8339.64827683859,1.0,8339.64827683859,0.006145662557001758
2020-08-03,GLD.P,2174.730216599551,185.64,403716.9174095406,0.2975075039846318
2020-08-03,CPER.P,14749.269803252595,18.29,269764.14470148995,0.1987948829830055
2020-08-03,SLV.P,2969.114848618467,227.4,675176.7165758394,0.4975519504753611
2020-09-01,CASH,22164.621695789046,1.0,22164.621695789046,0.01518418293212968
2020-09-01,GLD.P,784.2880390218602,185.05,145132.50162099523,0.09942504249596433
2020-09-01,CPER.P,15404.83407738421,18.728,288501.7326012515,0.197642131870269
2020-09-01,SLV.P,3840.5467374369005,261.4,1003918.9171660057,0.687748642701637
2020-10-01,CASH,11503.02508693638,1.0,11503.02508693638,0.008919475809727281
2020-10-01,GLD.P,1430.6137798458947,178.7,255650.68245846135,0.198232209414039
2020-10-01,CPER.P,6966.348463113347,17.86,124418.98355120438,0.09647480603307856
2020-10-01,SLV.P,4065.5495687728726,220.9,898079.8997419276,0.6963735087431553
2020-11-02,CASH,13760.22899238765,1.0,13760.22899238765,0.01052233378866164
2020-11-02,GLD.P,1451.0720098393322,177.91,258160.22127051558,0.19741299513735477
2020-11-02,CPER.P,33970.01690580336,19.05,647128.822055554,0.4948540808222715
2020-11-02,SLV.P,1734.347068787536,224.1,388667.1781152868,0.29721059025171204
