datetime,sec_code,shares,price,value,weight
2017-08-01,CASH,0.0,1.0,0.0,0.0
2017-08-01,CPER.P,32128.56480817467,18.566,596498.9342285709,0.6006377529962464
2017-08-01,USO.P,24545.28629867392,10.09,247661.93875361985,0.24938034564646372
2017-08-01,GSG.P,10336.462180435352,14.41,148948.42002007342,0.14998190135728984
2017-09-01,CASH,1116.503876436269,1.0,1116.503876436269,0.0010905118194552983
2017-09-01,CPER.P,23111.097213183562,19.95,461066.38940301206,0.4503328271482844
2017-09-01,GLD.P,2834.450979535752,126.06,357310.8904802769,0.3489927419979551
2017-09-01,SLV.P,1221.4043530180395,167.3,204340.94825991802,0.19958391903430517
2017-10-02,CASH,0.0,1.0,0.0,0.0
2017-10-02,USO.P,43118.21609723738,10.21,440236.9863527937,0.45172391555024244
2017-10-02,DBC.P,20971.74260038638,16.284406799875,341512.3878069602,0.35042333518394064
2017-10-02,GSG.P,13090.396023009083,14.73,192821.5334189238,0.19785274926581697
2017-11-01,CASH,7272.702414153842,1.0,7272.702414153842,0.007047819775557156
2017-11-01,USO.P,23355.353729715054,10.9,254573.3556538941,0.24670157365653858
2017-11-01,DBC.P,8996.73163094629,17.084230316568,153702.23527943887,0.14894953645312914
2017-11-01,CPER.P,30695.210204201016,20.08,616359.8209003564,0.5973010701147752
2017-12-01,CASH,3884.7808307856612,1.0,3884.7808307856612,0.0037388649039372616
2017-12-01,USO.P,39867.43934804064,11.67,465253.0171916343,0.4477776876480621
2017-12-01,DBC.P,20845.55809597637,17.382831096134,362354.8154870059,0.348744436664406
2017-12-01,GLD.P,1706.8359642234843,121.59,207534.18488993347,0.19973901078359466
2018-01-02,CASH,4870.958729867649,1.0,4870.958729867649,0.004589153838177002
2018-01-02,USO.P,21984.19893906604,12.07,265349.2811945271,0.24999773962044228
2018-01-02,CPER.P,30224.882528090417,20.922,632364.9922527077,0.5957800901762385
2018-01-02,GSG.P,9701.984687185633,16.37,158821.48932922882,0.1496330163651422
2018-02-01,CASH,2326.763572043885,1.0,2326.763572043885,0.0021469077605339804
2018-02-01,USO.P,36832.06486228087,13.24,487656.53877659875,0.44996131972916814
2018-02-01,GSG.P,22093.447712201494,17.1,377797.9558786456,0.3485946630483179
2018-02-01,DBC.P,11727.748024937286,18.417269511057,215993.09613303642,0.19929710946198012
